run,seed,alpha,prov_a_accuracy,prov_a_latency_ms,prov_a_reliability,prov_b_accuracy,prov_b_latency_ms,prov_b_reliability,utility_a,utility_b,selected,selected_utility,best_utility,regret,w_accuracy,w_latency,w_reliability
2,999193817,1.0,0.941105,69.4183,0.937366,0.618305,6.6772,0.845296,0.941105,0.618305,idt2a,0.941105,0.941105,0.0,1.0,0.0,0.0
3,999193818,0.0,0.902914,43.6688,0.973754,0.651355,12.1351,0.813018,0.768533,0.845833,idt2b,0.845833,0.845833,0.0,0.0,0.5,0.5
3,999193818,0.05,0.902914,43.6688,0.973754,0.651355,12.1351,0.813018,0.775252,0.836109,idt2b,0.836109,0.836109,0.0,0.05,0.475,0.475
3,999193818,0.1,0.902914,43.6688,0.973754,0.651355,12.1351,0.813018,0.781971,0.826386,idt2b,0.826386,0.826386,0.0,0.1,0.45,0.45
3,999193818,0.15,0.902914,43.6688,0.973754,0.651355,12.1351,0.813018,0.78869,0.816662,idt2b,0.816662,0.816662,0.0,0.15,0.425,0.425
3,999193818,0.2,0.902914,43.6688,0.973754,0.651355,12.1351,0.813018,0.795409,0.806938,idt2b,0.806938,0.806938,0.0,0.2,0.4,0.4
3,999193818,0.25,0.902914,43.6688,0.973754,0.651355,12.1351,0.813018,0.802128,0.797214,idt2a,0.802128,0.802128,0.0,0.25,0.375,0.375
3,999193818,0.3,0.902914,43.6688,0.973754,0.651355,12.1351,0.813018,0.808847,0.78749,idt2a,0.808847,0.808847,0.0,0.3,0.35,0.35
3,999193818,0.35,0.902914,43.6688,0.973754,0.651355,12.1351,0.813018,0.815566,0.777766,idt2a,0.815566,0.815566,0.0,0.35,0.325,0.325
3,999193818,0.4,0.902914,43.6688,0.973754,0.651355,12.1351,0.813018,0.822285,0.768042,idt2a,0.822285,0.822285,0.0,0.4,0.3,0.3
3,999193818,0.45,0.902914,43.6688,0.973754,0.651355,12.1351,0.813018,0.829004,0.758318,idt2a,0.829004,0.829004,0.0,0.45,0.275,0.275
3,999193818,0.5,0.902914,43.6688,0.973754,0.651355,12.1351,0.813018,0.835723,0.748594,idt2a,0.835723,0.835723,0.0,0.5,0.25,0.25
3,999193818,0.55,0.902914,43.6688,0.973754,0.651355,12.1351,0.813018,0.842442,0.73887,idt2a,0.842442,0.842442,0.0,0.55,0.225,0.225
3,999193818,0.6,0.902914,43.6688,0.973754,0.651355,12.1351,0.813018,0.849161,0.729147,idt2a,0.849161,0.849161,0.0,0.6,0.2,0.2
3,999193818,0.65,0.902914,43.6688,0.973754,0.651355,12.1351,0.813018,0.85588,0.719423,idt2a,0.85588,0.85588,0.0,0.65,0.175,0.175
3,999193818,0.7,0.902914,43.6688,0.973754,0.651355,12.1351,0.813018,0.862599,0.709699,idt2a,0.862599,0.862599,0.0,0.7,0.15,0.15
3,999193818,0.75,0.902914,43.6688,0.973754,0.651355,12.1351,0.813018,0.869318,0.699975,idt2a,0.869318,0.869318,0.0,0.75,0.125,0.125
3,999193818,0.8,0.902914,43.6688,0.973754,0.651355,12.1351,0.813018,0.876038,0.690251,idt2a,0.876038,0.876038,0.0,0.8,0.1,0.1
