run,seed,degraded1,onset1_s,rate1,fail1_s,recover1_s,degraded2,onset2_s,rate2,fail2_s,recover2_s,degraded3,onset3_s,rate3,fail3_s,recover3_s,t,method,active_provider,accuracy,latency_ms,reliability,utility,failover_event
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,87,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,88,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,89,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,90,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,91,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,92,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,93,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,94,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,95,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,96,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,97,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,98,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,99,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,100,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,101,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,102,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
